1,0,1.9158e-010,1.1167e-013,3.2511e-012
2,0,2.3647e-012,4.1147e-015,3.8531e-013
3,0,1.0137e-013,1.0393e-015,6.7719e-014
4,4.1494e-015,1.631e-013,1.9427e-016,1.066e-014
5,0.0039262,0.0012116,9.5058e-009,3.0007e-007
6,0.0023676,0.0024922,3.0524e-008,9.527e-007
7,0.000905,0.00043445,2.5254e-009,6.1002e-008
8,2.1917e-005,2.2557e-005,3.2278e-010,1.3672e-008
9,1.3023e-006,1.9426e-006,5.8029e-011,2.4709e-009
10,5.0803e-008,1.9867e-007,2.3982e-011,6.7725e-010
11,0,1.9989e-008,3.485e-012,2.1344e-010
12,0,8.8716e-011,4.171e-013,2.7685e-011
