0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7.922e-016,7.922e-016,7.922e-016,0,0,0,0,0,0,0,0,0,0,0,0,7.922e-016,7.922e-016,7.922e-016,0,0,0
0,0,0,0,0,0,8.4392e-015,8.4392e-015,8.4392e-015,0,0,0,0,0,0,0,0,0,0,0,0,8.4392e-015,8.4392e-015,8.4392e-015,0,0,0
0,0,0,0,0,0,8.1107e-015,8.1107e-015,8.1107e-015,0,0,0,0,0,0,0,0,0,0,0,0,8.1107e-015,8.1107e-015,8.1107e-015,0,0,0
0,0,0,0,0,0,6.3176e-015,6.3176e-015,6.3176e-015,0,0,0,0,0,0,0,0,0,0,0,0,6.3176e-015,6.3176e-015,6.3176e-015,0,0,0
0,0,0,0,0,0,1.1179e-014,1.1179e-014,1.1179e-014,0,0,0,0,0,0,0,0,0,0,0,0,1.1179e-014,1.1179e-014,1.1179e-014,0,0,0
9.8293e-018,9.8293e-018,9.8293e-018,0,0,0,1.3215e-014,1.3215e-014,1.3215e-014,0,0,0,0,0,0,0,0,0,0,0,0,1.3225e-014,1.3225e-014,1.3225e-014,0,0,0
4.6992e-018,4.6992e-018,4.6992e-018,0,0,0,1.4215e-014,1.4215e-014,1.4215e-014,0,0,0,0,0,0,0,0,0,0,0,0,1.422e-014,1.422e-014,1.422e-014,0,0,0
0,0,0,0,0,0,2.3129e-014,2.3129e-014,2.3129e-014,0,0,0,0,0,0,0,0,0,0,0,0,2.3129e-014,2.3129e-014,2.3129e-014,0,0,0
0,0,0,0,0,0,2.3344e-014,2.3344e-014,2.3344e-014,0,0,0,0,0,0,0,0,0,0,0,0,2.3344e-014,2.3344e-014,2.3344e-014,0,0,0
0,0,0,0,0,0,2.3049e-014,2.3049e-014,2.3049e-014,0,0,0,0,0,0,0,0,0,0,0,0,2.3049e-014,2.3049e-014,2.3049e-014,0,0,0
0,0,0,0,0,0,2.1718e-014,2.1956e-014,2.1956e-014,0,0,0,0,0,0,0,0,0,0,0,0,2.1718e-014,2.1956e-014,2.1956e-014,0,0,0
0,0,0,0,0,0,1.8759e-014,1.8759e-014,1.8759e-014,0,0,0,0,0,0,0,0,0,0,0,0,1.8759e-014,1.8759e-014,1.8759e-014,0,0,0
0,0,0,0,0,0,1.275e-014,1.275e-014,1.275e-014,0,0,0,0,0,0,0,0,0,0,0,0,1.275e-014,1.275e-014,1.275e-014,0,0,0
0,0,0,0,0,0,5.7895e-015,5.7895e-015,5.7895e-015,0,0,0,0,0,0,0,0,0,0,0,0,5.7895e-015,5.7895e-015,5.7895e-015,0,0,0
0,0,0,0,0,0,2.1706e-015,2.1706e-015,2.1706e-015,0,0,0,0,0,0,0,0,0,0,0,0,2.1706e-015,2.1706e-015,2.1706e-015,0,0,0
0,0,0,0,0,0,8.3848e-016,8.3848e-016,8.3848e-016,0,0,0,0,0,0,0,0,0,0,0,0,8.3848e-016,8.3848e-016,8.3848e-016,0,0,0
0,0,0,0,0,0,2.8766e-016,2.8766e-016,2.8766e-016,0,0,0,0,0,0,0,0,0,0,0,0,2.8766e-016,2.8766e-016,2.8766e-016,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.9737e-017,3.5831e-017,2.4109e-017,8.341e-013,1.7301e-012,2.6273e-012,2.7484e-015,1.4121e-015,9.5016e-016,0,0,0,0,0,0,0,0,0,0,0,0,8.3692e-013,1.7316e-012,2.6283e-012,0,0,0
2.5048e-015,2.5048e-015,2.5048e-015,0,0,0,4.2991e-014,4.2991e-014,4.2991e-014,0,0,0,0,0,0,0,0,0,0,0,0,4.5496e-014,4.5496e-014,4.5496e-014,0,0,0
4.2531e-016,2.405e-016,1.6348e-016,3.0838e-013,6.8944e-013,1.0741e-012,6.805e-015,3.5958e-015,2.4443e-015,0,0,0,0,0,0,0,0,0,0,0,0,3.1561e-013,6.9327e-013,1.0767e-012,0,0,0
2.7632e-015,2.7632e-015,2.7632e-015,0,0,0,4.4211e-014,4.4211e-014,4.4211e-014,0,0,0,0,0,0,0,0,0,0,0,0,4.6974e-014,4.6974e-014,4.6974e-014,0,0,0
2.6611e-015,2.6611e-015,2.6611e-015,0,0,0,5.297e-014,5.297e-014,5.297e-014,0,0,0,0,0,0,0,0,0,0,0,0,5.5631e-014,5.5631e-014,5.5631e-014,0,0,0
