1,0,0.26547,0.09883,0.49498,2.7601e-007
2,0,0.19403,0.012947,0.54066,2.9339e-006
3,0,0.28321,0.027405,0.76151,3.9841e-005
4,8.6907e-007,0.76691,0.45387,0.93458,0.00012428
5,0.00014018,1.374,0.92373,1.3419,0.00021906
6,0.00013362,0.79009,0.46297,0.97692,0.00036318
7,0.00026775,0.77154,0.7262,0.13508,0.00056698
8,0.00023019,1.2407,1.1076,0.39706,0.00046996
9,0.00027038,1.2244,1.1261,0.29405,0.00025865
10,2.7544e-005,0.53241,0.34459,0.55883,0.00012987
11,0,0.65214,0.35734,0.87611,4.576e-005
12,0,0.25301,0.047779,0.61025,3.4478e-006
